Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Population growth (annual %),SP.POP.GROW,Turkiye,TUR,,2.425790002,2.407715921,2.393811413,2.3853531,2.380937981,2.375297706,2.369404716,2.368643199,2.373916176,2.381905469,2.392023642,2.397264654,2.390248356,2.368038221,2.336229592,2.296183989,2.260251904,2.241133731,2.244042958,2.258182263,2.276152942,2.278873374,2.251591568,2.186690623,2.097331522,2.004087203,1.921203049,1.847441088,1.787289029,1.738407211,1.689663445,1.642779995,1.610070065,1.594179806,1.589415173,1.589088035,1.584884416,1.572877809,1.549535629,1.518109798,1.494226621,1.473865687,1.438736645,1.384733924,1.323126487,1.248876636,1.192804331,1.195378827,1.273890354,1.400088606,1.531566078,1.631148233,1.692745456,1.702643616,1.669481585,1.639942404,1.601312234,1.497232048,1.3145137,1.084193952,0.830872072
Urban population growth (annual %),SP.URB.GROW,Turkiye,TUR,,4.152815135,4.059415313,4.033764319,4.010727178,3.991997383,4.462801624,4.660623037,4.630404635,4.601700957,4.584676716,4.234547126,4.06513773,4.038207484,3.99906107,3.950692569,3.493718531,3.25558858,3.231320889,3.226827797,3.233692009,5.443810561,6.201879269,6.040834123,5.851402682,5.617223777,4.7905564,4.359253696,4.218625479,4.079372791,3.96561765,2.986890473,2.542416286,2.493494693,2.466622507,2.451092646,2.43861505,2.42092658,2.398844555,2.362511067,2.321438668,2.415199485,2.439496963,2.386125544,2.315793019,2.233804862,2.144033045,2.069881962,2.057650371,2.117404532,2.228073979,2.342949265,2.429055191,2.463656498,2.452606368,2.397559996,2.347922864,2.286900105,2.163513719,1.960520286,1.710287274,1.438705641
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Turkiye,TUR,,-1.26824121,3.059924754,6.486465331,2.973251402,0.404279779,8.602306009,2.280141212,4.278524905,1.639443121,0.803637874,3.071476289,4.881130825,0.823373003,3.123331173,4.699300562,7.953686139,1.095634577,-0.746581984,-2.82931577,-4.625580293,2.496908597,1.22984143,2.633970597,4.403881915,2.077816713,4.888763818,7.402176226,0.447775659,-1.486309099,7.383071281,-0.967257707,3.324226368,5.931883178,-6.175858761,6.17718775,5.686793303,5.886121916,0.806059059,-4.750586281,5.32213582,-7.147845597,4.890330717,4.252446053,8.28603301,7.559697386,5.620645339,3.797987497,-0.382922616,-6.027912669,6.919606567,9.509983157,3.093101823,6.664883623,3.168090824,4.328127771,1.642463409,5.794264413,1.449522518,-0.427943737,0.695873101,10.06784818
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Turkiye,TUR,389.1138283,385.4709943,411.1189775,421.5632181,433.9091738,445.9010036,478.2536167,483.9519953,496.9117734,511.562002,522.1994044,547.1272699,603.2855091,649.9427618,656.8471565,681.2166758,724.4861421,776.7649299,756.4625086,703.5482799,715.1481495,704.7910183,732.2247486,757.9523243,771.3410884,800.2796153,844.9383573,919.196089,908.4096013,926.5926019,977.6631726,947.7551985,961.9310112,1004.13575,976.487647,1052.698409,1126.180703,1166.227425,1169.88053,1131.091171,1201.085873,1094.184604,1139.352172,1178.379689,1204.666657,1240.165417,1354.807027,1437.163301,1401.7754,1371.130205,1474.668102,1545.491748,1583.676202,1540.161327,1573.769797,1651.36137,,,,,,
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Turkiye,TUR,44.19907189,44.15911347,49.04966574,51.62627951,53.97489237,56.08172971,59.44922184,60.62461071,62.18319547,64.16108791,65.65402953,68.9916544,70.28142806,72.39128652,72.57193154,72.37632892,73.1048969,74.85099186,73.69749533,70.98886767,71.91816933,71.59576614,72.17232929,73.87615828,74.38064344,76.59234288,77.98247752,78.86663214,77.03619448,79.78316108,81.76598213,81.41887116,81.37420133,81.38847423,81.61678501,82.59288875,83.23558002,83.78303176,83.63248921,84.53000919,86.24798514,86.07294035,86.07008772,87.04065847,86.70136114,88.05963778,89.00397079,90.49675228,90.56269753,89.89750931,89.12433057,89.96939746,89.41051234,88.15732151,89.5439509,86.84318766,,,,,,
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Turkiye,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.51077696,24.18419764,24.22050637,23.82532605,24.24307665,22.09844195,21.24304374,20.84128763,21.63426895,20.55542625,17.29,18.12,17.49,16.29,16.78,15.34,14.23,12.48,12.53,13.12,14.21,12.68,13.03,13.8,11.51,13.34,13.23,11.4,11.83,14.12,,
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Turkiye,TUR,12.33565394,12.58670077,17.94188054,18.02619835,19.24357063,18.82009052,19.35059576,16.25670021,18.08827421,19.43591473,23.18499157,29.34284862,31.50444026,36.25547319,36.96602063,39.22071935,42.95357179,46.93419453,44.61183502,42.42305829,45.50802744,43.03689974,43.72847705,45.95050607,45.431828,44.40640076,44.48884163,46.72260948,47.56225286,47.78981956,51.03172265,50.68456442,50.8586516,53.99163347,53.2101188,56.98770847,59.47236061,60.29025788,59.48222441,60.98038829,65.95818292,65.23943166,67.51047754,69.71013237,70.1325894,71.58226587,71.71293889,72.72549883,70.64200636,69.03588118,69.6247666,71.60757653,74.0171228,73.06535542,74.20811136,75.20788004,,,,,,
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turkiye,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.581518206,2.622145146,2.687046317,2.746152562,2.672146507,2.875024751,3.118979737,3.203938424,3.15817802,3.092921327,3.421874278,3.080901847,3.194548471,3.316114188,3.351692121,3.460795614,3.797151008,4.152950584,4.078325237,4.035674599,4.107871448,4.32606106,4.40556459,4.190557931,4.410763561,4.477175913,4.692471511,5.127196626,5.000359011,4.75658475,,
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Turkiye,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590,7430,7520,7350,7000,7010,6990,7500,7690,8530,8850,8250,7840,7670,7580,8230,8540,10490,10980,10910,10970,11360,11660,10300,11920,7210,10250,10240,9990,9920,,
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,Turkiye,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1240,1260,1350,1330,1420,1500,1470,1410,1390,1430,1290,1340,1340,1330,1350,1490,1570,1520,1500,1490,1480,1610,1650,1710,1860,2010,2130,2150,2170,,